epoch,full_dense_accuracy,full_dense_loss,loss,lr,reduced_dense_accuracy,reduced_dense_loss,val_full_dense_accuracy,val_full_dense_loss,val_loss,val_reduced_dense_accuracy,val_reduced_dense_loss
0,0.5148786306381226,1.8511048555374146,3.7297489643096924,0.01,0.5080331563949585,1.8786436319351196,0.21804913878440857,3.555968999862671,7.056128978729248,0.21926362812519073,3.5001461505889893
1,0.6152279376983643,1.3925318717956543,2.7840425968170166,0.01,0.6137860417366028,1.3915131092071533,0.07356692105531693,5.048162937164307,10.097574234008789,0.07516597956418991,5.049413204193115
2,0.6612387299537659,1.1777915954589844,2.3563027381896973,0.01,0.6605961322784424,1.17851722240448,0.09929358214139938,4.08937931060791,8.130155563354492,0.0938183143734932,4.040772914886475
3,0.6883321404457092,1.0430908203125,2.090737819671631,0.01,0.6875580549240112,1.047641396522522,0.029916606843471527,6.5534515380859375,13.086494445800781,0.030321432277560234,6.533034324645996
4,0.7087647318840027,0.9445703029632568,1.8942757844924927,0.01,0.7073733806610107,0.9497113227844238,0.04571492224931717,4.575791835784912,9.318161964416504,0.0428001768887043,4.742372989654541
5,0.7263160347938538,0.8612754344940186,1.7274577617645264,0.01,0.7250587344169617,0.8661804795265198,0.026364261284470558,151.5219268798828,303.8808288574219,0.022164197638630867,152.3590545654297
6,0.755774736404419,0.7276513576507568,1.4626785516738892,0.0031622776,0.7535789608955383,0.7350229620933533,0.08538782596588135,8.162408828735352,16.183881759643555,0.08672374486923218,8.021470069885254
7,0.7705584764480591,0.6685458421707153,1.3440059423446655,0.0031622776,0.7686333656311035,0.6754617094993591,0.6251922845840454,1.5236549377441406,3.03387451171875,0.6258602738380432,1.510216474533081
8,0.7773609161376953,0.6369372606277466,1.2808221578598022,0.0031622776,0.7755293846130371,0.6438856720924377,0.6959052085876465,1.1008586883544922,2.2051191329956055,0.6959558129310608,1.1042556762695312
9,0.7835258841514587,0.6153528094291687,1.2369951009750366,0.0031622776,0.7817702293395996,0.6216443777084351,0.6223382949829102,1.4349069595336914,2.881718635559082,0.6198081374168396,1.4468083381652832
10,0.7890660166740417,0.5909470319747925,1.1880120038986206,0.0031622776,0.787307858467102,0.5970660448074341,0.7053477168083191,1.0941559076309204,2.1944265365600586,0.7041332721710205,1.1002743244171143
11,0.7925519943237305,0.5736403465270996,1.153085470199585,0.0031622776,0.7914692163467407,0.5794486999511719,0.7404056191444397,0.9498862624168396,1.9071680307388306,0.7398388981819153,0.957280695438385
12,0.7974039912223816,0.5548169016838074,1.1147770881652832,0.0031622776,0.7960455417633057,0.559962809085846,0.6754109263420105,1.2457771301269531,2.503070116043091,0.6734980940818787,1.2572907209396362
13,0.801337718963623,0.5374825596809387,1.0798296928405762,0.0031622776,0.7999590039253235,0.5423492789268494,0.17822442948818207,4.046818256378174,8.246824264526367,0.17396365106105804,4.199997901916504
14,0.8057723641395569,0.5207761526107788,1.046438217163086,0.0031622776,0.8049249053001404,0.5256609916687012,0.7094364762306213,1.0659292936325073,2.1417391300201416,0.7077969312667847,1.075810432434082
15,0.8095618486404419,0.5069043636322021,1.0184028148651123,0.0031622776,0.8078719973564148,0.5114966630935669,0.5682637095451355,1.788008689880371,3.5686678886413574,0.5689114332199097,1.7806644439697266
